No.	Quantity	Footprint	Value	Device	LCSC Stock	LCSC Price	JLCPCB Stock	JLCPCB Price	Supplier Part	Manufacturer Part
1	1	USBA_PCB		USBA_PCB		2.6475				
2	1	SW-SMD_L3.9-W3.0-P4.45		TS-1088-AR02016			582292	0.0083	C720477	TS-1088-AR02016
3	1	C0402	4.7uF	CL05A475MP5NRNC			2960347	0.0009	C23733	CL05A475MP5NRNC
4	1	C0402	100nF	CL05B104KO5NNNC			20013117	0.0002	C1525	CL05B104KO5NNNC
5	1	C0402	1uF	CL05A105KA5NQNC			8734328	0.0006	C52923	CL05A105KA5NQNC
6	1	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6_C2687116			251847	0.0067	C2687116	USBLC6-2SC6
7	1	IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T		AOTA-B201610S3R3-101-T			9385	0.0424	C42411119	AOTA-B201610S3R3-101-T
8	1	R0402	33Ω	0402WGF330JTCE			5209402	0.0002	C25105	0402WGF330JTCE
9	1	R0402	1kΩ	0402WGF1001TCE			12688834	0.0002	C11702	0402WGF1001TCE
10	1	SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BR		SPX3819M5-L-3-3			66147	0.0157	C20617301	SPX3819M5-L-3-3
11	1	QFN-60_L7.0-W7.0-P0.40-TL-EP3.4		RP2350A_C42411118			3597	0.1854	C42411118	RP2350A
12	1	C0402	15pF	0402CG150J500NT			1496521	0.0002	C1548	0402CG150J500NT
13	1	CRYSTAL-SMD_4P-L3.2-W2.5-BL		ABM8-272-T3_C20625731			13844	0.0431	C20625731	ABM8-272-T3
14	1	LED-ARRAY-SMD_4P-L1.6-W1.6-BL_1		19-237/R6GHBHC-A01/2T			41805	0.0093	C60105	19-237/R6GHBHC-A01/2T
15	1	Screw-Hole-M2		Screw-Hole-M2		2.6475				
16	1	R0402	27Ω	0402WGF270JTCE			344663	0.0002	C25100	0402WGF270JTCE
17	1	USON-8_L3.0-W2.0-P0.50-BL-EP		W25Q16JVUXIQ			2	0.1047	C2843335	W25Q16JVUXIQ
